,text
171,angry boyfriend promised come see spent evening pals
172,utterance intended joke taken offence opinion stupid got angry
173,got angry friend mine caught reading notebook almanach
174,sister took things without asked permission first
175,brother told person whom know insulted him fond brother get angry hurt protectiveness aroused got angry
176,saw big man hit another one nobody anything
177,without permission son made popcorn coming back school consequences spoilt kettle chaos kitchen could happened hot grease 
178,vacation therefore attend meeting day care centre nevertheless day came back called early morining ask what going matter  which discussed meeting got angry
179,one winter day i unwillingly outdoors younger brother 10 years younger me lost temper wanted throw brother snow bank on pushed hard wanted to alone two us
180,friend mine promised arrange tickets concert considered important could get way thought would gave whole thing
181,last day school traditionally celebrated singing song students leaving song me things irritated lot
182,read newspaper student lodging fund going build new appartments refugees in opinion states affair fractoin students find appartment
183,playing ball game make goal thrown feet failed score goal
184,came lesson cancelled fill questionnaire instead
185,girlfriend started singing she cannot sing stop despite asking so
186,new years eve party country hardly knew person partner spent time bar little opportunity get know people table separated boyfriends parents present
187,weekend wanted absent school sports event teacher refused give day like me
188,quarrel parents
189,wanted go friend mine party moment wanted leave father said go needed work afternoon
190,wanted see friend looking forward certain expectations pay attention me played cards people
191,recently good friend called needed something never said please thank you kind word
192,lost driving license driving influence alcool
193,colleague asked study her could explain things perfectly expected reacted aggressive manner
194,rearranged furniture flat got stuck chair
195,helped little sister 13 years learning mathematics obviously want understand explained started cry grew angry
196,friend mine tried persuade go place act model felt tired quarter hour appointed time lied want go late anyway said talking looking work possible would accept it angry unjust judgment
197,friend called told wanted come see me lived village 50 km distance fom home town next morning expected arrive got impatient called parents told gone skiing angry cancelled appointment able see her
198,hairdressers got two stains dyestuff new trousers stains removable cannot put trousers again
199,friend shares room me opened window morning left room whole day came home evening room cold stay there
200,arrived vienna middle night asked silly information  realized afterwards  inquiry clerk reacted arrogant manner
201,wanted clear misunderstanding friend caused third person meddled conversation turned efforts ridicule succeed intended
202,went singing group young people january 6th the three magi local custom called star singing one girls girlfriend broke star accompanying person felt angry thinking consequences
203,lecture colleague know anything subject got nerves asking silly questions
204,christmas holdidays wanted invite brother girlfriend child dinner said brothers girlfriend would like come place dinner refused never mentioned never asked her
205,exhausting day came home wanted take bath relax father wanted take bath first finished hour hot water left me
206,mother treated unjustly little child said mean things unable defend adequately
207,happened tram older people started grumble young people immediately left seat them
208,end holiday job got less money due nobody mentioned anything that
209,share small flat friend birthday could see evening stay university day evening left lecture finished able buy flowers her home called tell would stay night boyfriend
210,one day riding bicycle path car coming opposite direction forced get bike although priority
211,hainburg december angry politicians police
212,waiting behind car going leave parking place wanted park car there uncoming traffic wait short time  another driver placed car place
213,angry several drivers showed aggressive dangerous driving habit
214,househunting another person got flat would liked too heaped floot words letter
215,wanted talk someone liked told likes by brother even himself however avoids confrontation vague
216,feelings towards wouldbe inlaws participation recent broken relationship
217,boyfriend lied me
218,people hunting animals
219,school couple years ago socalled acquaintance told lies teacher told friends overheard conversation
220,dismissed unjustly firm worked persons problems miss jobs occupied dismissed
221,talked teacher yesterday who say least rude unwise irrelevant opinions friend
222,difficult moment express correctly thought came distortions bringing highly negative distorted results
223,angry person behaved terribly ball offending relatives
224,sister promised help translation english german day needed told busy  angry
225,usually start learning short time examination made mind try work longer time  got bad mark
226,felt treated unjustly teacher
227,friend unpunctual wanted prepare examination
228,still attended school brother usually went see aunt show terms report rewarded us money although reports good brothers got money
229,stolen bottle rum person knows well threatened call police pay 500 shillings
230,arranged friend go carinthia car arranged place meet bit late friend left already money go train nearly started cry angry  important go carinthia
231,examination got bad mark small mistake went lector wanted talk that listen sent away
232,discussing something person realize person thinking argumentations instead listening become angry
233,hungry wanted start eating friend called usually talks long time angry prevented eating
234,friend promised call certain time expected call impatiently vain
235,studied almost one week physicsexamination difficulty passed examn angry teacher also remembered enough examn time spent studying wasted
236,got bad cold father said must crazy go motorbike temperatures answered care cold said care anything could leave it second time said something like that
237,parents divorced father pays alimony me two years ago sister lives father suddenly asked mother money considered amount money mother offered small brought action mother terribly angry sister
238,man treated dog badly  insulted beated dog kept lying floor tail drawn in
239,come home evening first thing sit smoke cigarette one day found flat totally desolate state girlfriend wanted tidy finished
240,angry government acted concerning hainburg especially saw discussion tv
241,playing table tennis already sure would win  last lost game
242,friend mine told people slattern because occurence happened time ago heard angry
243,friend mine uses butter instead oil cooking always angry that unnecessary luxury recently cooking wanted use butter again already put oil pan poured put butter pan
244,eaten anything 2 days able pay fine fianct stayed another town spent one thousand shillings restaurant time
245,bought aquarium made much pleasure watching fish father came asked much payed it said would pay current would require
246,played chess championship disturbed people asked quiet vain
247,big family grandmothers funeral met everybody pretended mourning reality like fashionshow everybody wanted show himself
248,mother kept leadingstrings
249,girlfriend understand me angry problems seperated  could resign it
250,accident damage car body
251,heard friends grumbling adjoining room although behaved friendly way present
252,boyfriend promised come home 10 pm return midnight consumed lot alcohol
253,friend promised get book important work forgot it
254,office application made turned scrupulous interpretation rules
255,angry watched skirace austrian skiers dropped out
256,father bought many goods shop enough space store them
257,boyfriend promised come 10 am  3 hours late
258,played chess 12yearold brother made stupid mistake  won
259,friend promised give lift graz sure called went told promised another person give lift
260,boyfriend chatting up another girl
261,heated discussion spouse concerning new house
262,friend gone way something bother acknowledge efforts treated badly thereafter
263,stopped police traffic offence think committed
264,person walking dog allowed defecate footpath outside house although happened before first time witnessed it skills learnt py 263 thrown window indifference protestation obvious me
265,person going let situation depending them show respect care
266,one close friends saying like way nice people know nasty me
267,disgust
268,anger towards lover late
269,heated argument lover  whose intention marry near future  rejected started cry stopped crying moment said there got 
270,mother person sharing housing accused trying rip payment bills house
271,anger boyfriends best friend alienating blaming personality changes boyfriend changes boyfriends attitude obvious egoistical attitude so also lost one best friends  girlfriend
272,enjoying company bird life eating lunch park group people began throwing sticks birds  reason satisfaction seeing scared away
273,corner shop patronise regularly  50 note purchased  3 worth goods really needed  keeper made sarcastic remarks others people using cash notes
274,rights use shared house usurped coowners pure selfishness
275,walked teenage patient mine i work hospital going office drawers removed money purse
276,alowed school camp class id 11 years i stayed due illness
277,last night  finding someone house eaten entire packet almonds bought family treat
278,finding subordinate work still willing cooperate discussions try resolve attitude problem
279,following argument brother broke golf clubs
280,school shouting argument friend ability carry particular duty correct way without harming her
281,group assignment left work take blame mistakes
282,brother provoked anger mother father away look ourselves accused selfish snob
283,mother father split angry felt deprived different children school
284,school dance supposed best friend kept walking away whenever came near her
285,person ignored advice pay attention saying acted though even there group work everybody right speak yet ignored me made feel insignificant
286,hardware store trying convert imperial metric measurements made mistake buy enough tiles bathroom angry myself hope maths teacher
287,going away weekend leaving college room open  returned several friends party there leaving mess
288,received mark well requirements course wanted enter yet accepted  anger injustice it receive early release hsc marks
289,situation whereby friends actions deliberately wishes with regard feelings
290,friend speak tell why
291,accused bitching best friend
292,put tennis team standard
293,sister lost favourite jumper party failed tell several days happened
294,school write essay something wrong do wrote essay mistreated got saturday morning detention along kids show up
295,getting terrible meals paying heaps them
296,younger brother fighting tvvideo kept turning every 2 seconds listening authority cheeky fought ended tears  hed won
297,cant remember exact example
298,left person loved without reason
299,feel see somebody traying made stupid me
300,girlfriend guys like made fuss girl
301,unknown person provoked verbaly physically
302,learned girlfriend unjustly missed work
303,indignant unimpartiality shown referees football match bulgaria france
304,talk silly pettyminded unmanageable people
305,grandfathers funeral
306,unjust calumny concerning me
307,self losing important game won
308,angry university tutorial ignorant loudmouth persisted trying dominate conversation
309,child  8 years old  walking across paddock  set upon another boy claimed his land  intimidated boy  crying punched etc
310,informed flatmate that wed moved flat shed expected us buy food separetely  event actually happened 5 months sharing began prior this said nothing
311,brothers cruel boyfriend flatmate bent back one brothers fingers fault
312,flatmate asking questions relationship boyfriend whether treating unfairly claimed hed treating me result angered became defensive
313,anger doctors treatment giving birth left part placenta behind bled heavily twelve weeks  due this felt weak emotional said needed psychiatric treatment give support
314,exboyfriend began date best friend seeing other found sleeping another girl without friend knowing told friend behind back
315,seeing uncertain child work model several hours watched bully age destroy it telling child worthless
316,socalled friend let down promised tell certain concert occurring shed get tickets really looking forward it nothing told blue one day fantastic concert going be
317,one day crossroad somebody crashed car got person laughed me felt great anger got car went away
318,one teacher unjustly gave zero test saying cribbing
319,went school library asked book librarian told such however colleague asked gave him
320,feel anger somebody forbids something
321,changed office another room without agreement
322,feeling occurred colleague entered gv university didnt
323,felt anger fight father beated me mother came help because beeing beated also beated mother
324,feel anger things come wish
325,denied job person propsed giving political reasons nothing directly professional level
326,stole dark blue tennis
327,felt anger friend met a date become nervous pest always gets meets him
328,im crazy football team lost goal paulist championship lost classifications
329,car sadness felt anger way acted negotiating it
330,nearby end year wife car ride appears another vehicle driven drunk driver provokes accident
331,fact informed something greatest trust person
332,used go chief asking doubt job care answer me leaving speaking alone
333,person privileged account situations unjust disloyal colleagues friends
334,work happened fight person charge me got angry spoke everything felt moment
335,boss cut vacations saying month possible time let another girl take vacations month anger resentment resulting bad relationship
336,mother slapped face felt anger moment
337,robbed bus
338,one day lent tennis washed sister asked it asked soil washed it next day looked tennis dirty wax could soiled it lack consideration felt angry
339,certain occasion fight boyfriend fight closed door face went away came back next day
340,mother law slept bed
341,last year high school huge fight group graduation commission two students classroom accused us unjustly gossip them
342,boy tried fool would ok trying show gook boy
343,loved person went away necessary left reach goals
344,mother ill asked prpare lunch went it working stayed behind telling had do asked stop meddling go bed went ask help sister mother said proud asked help wanted able cook myself
345,girl entered division work greeted everybody me
346,chief accused error made
347,use lie parets do two times felt anger doubted said going club believe day met fliperama wish kill them
348,misleaded person assured something would occur reason prepccupy myself suddenly saw implicated fact incompetence irresponsibility person
349,felt anger saw misleaded boyfriend went girls felt anger falsity
350,sister took something belonged without permission
351,realized person courting really side long time already deceived let deceive me
352,felt much anger perhaps feel till now girlfriends sister incited betray needed much think anything simply passed everything
353,without employers knowledge even without communication bank accounts changed personal accounts closed
354,exboyfriend tried prejudice fianct family saying things let family worried postpone wedding already using wedding rings honest feel anger felt hate
355,brother went new shirt adored returned dirty grease
356,grandmother highly authoritative person lives alone independent know live without commanding others hate this
357,serious argument dear person
358,discussion mother way educate children felt anger mother
359,said absurd things false things filled ears inflated head seemed caught carcass heart wanted explode arm wanted knock world
360,felt much anger fahter interferred relations another person liked much ending something adored
361,colleague rude understand subject discussing
362,felt anger person told bad things absence
363,farm friends talk discovered friend mine betrayed boyfriend 3rd friend ours
364,left examination enter university even though studied whole year made bad exam
365,university convoked stroll like freshman still innocent manipulation seeing goal exaltation poor character people felt anger feeling mass maneuver
366,discussing certain person job getting perosn negative pessimistic
367,waiting receive participation profits receive it
368,once performance sing way to
369,angry abilities singer underestimated
370,certain situation felt neglected undeservedly harmed
371,feel anger see parent beating punishing child street recently withness similar case
372,brother accused undeservedly parents guilty misled wife
373,someone stole ski vitosha course one blamed left without supervision
374,shopassistant behaved rather roughly though slightest grounds it
375,mother decided clean room throw thought junk without knowing it returned home find half stuff gone
376,playing football match one player made mean tackels kicked everything things nothing football
377,felt anger colleague mine rehearsal acting learnt text opera act course several months thus making difficulties rest colleagues
378,felt occasion felt sadness finally grew anger
379,accident trafic police car packed curve without visibility traffic regulations strong snowstorm result still cannot repair car missing spare parts
380,whole crowd us went folklore festival instructor cast boyfriend played traveling us decided catch train leaved early morning business following day instructor tried get upper hand made us catch train spite everything time made angry
